Source,CH1
Second,Volt
-0.81920000000,-9.80000,
-0.81912000000,-9.80000,
-0.81904000000,-9.80000,
-0.81895993750,-9.80000,
-0.81887993750,-9.80000,
-0.81880000000,-9.80000,
-0.81872000000,-9.80000,
-0.81864000000,-9.80000,
-0.81856000000,-9.80000,
-0.81847993750,-9.80000,
-0.81839993750,-9.80000,
-0.81832000000,-9.80000,
-0.81824000000,-9.80000,
-0.81816000000,-9.80000,
-0.81808000000,-9.80000,
-0.81799993750,-9.80000,
-0.81792000000,-9.80000,
-0.81784000000,-9.80000,
-0.81776000000,-9.80000,
-0.81768000000,-9.80000,
-0.81759993750,-9.80000,
-0.81751993750,-9.80000,
-0.81744000000,-9.80000,
-0.81736000000,-9.80000,
-0.81728000000,-9.80000,
-0.81720000000,-9.80000,
-0.81711993750,-9.80000,
-0.81703993750,-9.80000,
-0.81696000000,-9.80000,
-0.81688000000,-9.80000,
-0.81680000000,-9.80000,
-0.81672000000,-9.80000,
-0.81663993750,-9.80000,
-0.81656000000,-9.80000,
-0.81648000000,-9.80000,
-0.81640000000,-9.80000,
-0.81632000000,-9.80000,
-0.81623993750,-9.80000,
-0.81615993750,-9.80000,
-0.81608000000,-9.80000,
-0.81600000000,-9.80000,
-0.81592000000,-9.80000,
-0.81584000000,-9.80000,
-0.81575993750,-9.80000,
-0.81567993750,-9.80000,
-0.81560000000,-9.80000,
-0.81552000000,-9.80000,
-0.81544000000,-9.80000,
-0.81535993750,-9.80000,
-0.81527993750,-9.80000,
-0.81520000000,-9.80000,
-0.81512000000,-9.80000,
-0.81504000000,-9.80000,
-0.81496000000,-9.80000,
-0.81487993750,-9.80000,
-0.81479993750,-9.80000,
-0.81472000000,-9.80000,
-0.81464000000,-9.80000,
-0.81456000000,-9.80000,
-0.81448000000,-9.80000,
-0.81439993750,-9.80000,
-0.81431993750,-9.80000,
-0.81424000000,-9.80000,
-0.81416000000,-9.80000,
-0.81408000000,-9.80000,
-0.81399993750,-9.80000,
-0.81391993750,-9.80000,
-0.81384000000,-9.80000,
-0.81376000000,-9.80000,
-0.81368000000,-9.60000,
-0.81360000000,-9.00000,
-0.81351993750,-8.40000,
-0.81343993750,-7.60000,
-0.81336000000,-6.80000,
-0.81328000000,-5.40000,
-0.81320000000,-4.20000,
-0.81312000000,-2.80000,
-0.81303993750,-1.20000,
-0.81296000000,0.60000,
-0.81288000000,2.40000,
-0.81280000000,4.40000,
-0.81272000000,6.40000,
-0.81263993750,8.80000,
-0.81255993750,9.60000,
-0.81248000000,9.60000,
-0.81240000000,9.60000,
-0.81232000000,9.60000,
-0.81224000000,9.60000,
-0.81215993750,9.60000,
-0.81207993750,9.60000,
-0.81200000000,9.60000,
-0.81192000000,9.60000,
-0.81184000000,9.60000,
-0.81176000000,9.80000,
-0.81167993750,9.60000,
-0.81160000000,9.60000,
-0.81152000000,9.80000,
-0.81144000000,9.60000,
-0.81136000000,9.60000,
-0.81127993750,9.80000,
-0.81119993750,9.80000,
-0.81112000000,9.80000,
-0.81104000000,9.60000,
-0.81096000000,9.80000,
-0.81088000000,9.60000,
-0.81079993750,9.80000,
-0.81071993750,9.80000,
-0.81064000000,9.80000,
-0.81056000000,9.80000,
-0.81048000000,9.80000,
-0.81040000000,9.80000,
-0.81031993750,9.80000,
-0.81024000000,9.80000,
-0.81016000000,9.80000,
-0.81008000000,9.80000,
-0.81000000000,9.80000,
-0.80991993750,9.80000,
-0.80983993750,9.80000,
-0.80976000000,9.80000,
-0.80968000000,9.80000,
-0.80960000000,9.80000,
-0.80952000000,9.80000,
-0.80943993750,9.80000,
-0.80935993750,9.80000,
-0.80928000000,9.80000,
-0.80920000000,9.80000,
-0.80912000000,9.80000,
-0.80903993750,9.80000,
-0.80895993750,10.00000,
-0.80888000000,9.80000,
-0.80880000000,9.80000,
-0.80872000000,10.00000,
-0.80864000000,10.00000,
-0.80855993750,9.80000,
-0.80847993750,9.80000,
-0.80840000000,9.80000,
-0.80832000000,9.80000,
-0.80824000000,10.00000,
-0.80816000000,9.80000,
-0.80807993750,10.00000,
-0.80799993750,9.80000,
-0.80792000000,9.80000,
-0.80784000000,10.00000,
-0.80776000000,10.00000,
-0.80767993750,9.80000,
-0.80759993750,10.00000,
-0.80752000000,10.00000,
-0.80744000000,9.80000,
-0.80736000000,10.00000,
-0.80728000000,10.00000,
-0.80719993750,10.00000,
-0.80711993750,9.80000,
-0.80704000000,9.80000,
-0.80696000000,9.80000,
-0.80688000000,10.00000,
-0.80680000000,10.00000,
-0.80671993750,9.80000,
-0.80664000000,9.80000,
-0.80656000000,10.00000,
-0.80648000000,10.00000,
-0.80640000000,10.00000,
-0.80631993750,9.80000,
-0.80623993750,10.00000,
-0.80616000000,10.00000,
-0.80608000000,10.00000,
-0.80600000000,10.00000,
-0.80592000000,9.80000,
-0.80583993750,10.00000,
-0.80575993750,10.00000,
-0.80568000000,10.00000,
-0.80560000000,9.80000,
-0.80552000000,10.00000,
-0.80544000000,10.00000,
-0.80535993750,10.00000,
-0.80528000000,10.00000,
-0.80520000000,10.00000,
-0.80512000000,9.80000,
-0.80504000000,10.00000,
-0.80495993750,10.00000,
-0.80487993750,9.80000,
-0.80480000000,10.00000,
-0.80472000000,10.00000,
-0.80464000000,9.80000,
-0.80456000000,9.80000,
-0.80447993750,9.80000,
-0.80439993750,10.00000,
-0.80432000000,9.80000,
-0.80424000000,9.80000,
-0.80416000000,9.80000,
-0.80408000000,10.00000,
-0.80399993750,10.00000,
-0.80392000000,9.80000,
-0.80384000000,10.00000,
-0.80376000000,9.80000,
-0.80368000000,9.80000,
-0.80359993750,9.80000,
-0.80351993750,10.00000,
-0.80344000000,9.80000,
-0.80336000000,9.80000,
-0.80328000000,10.00000,
-0.80320000000,9.80000,
-0.80311993750,9.80000,
-0.80303993750,9.80000,
-0.80296000000,10.00000,
-0.80288000000,9.80000,
-0.80280000000,9.80000,
-0.80271993750,10.00000,
-0.80263993750,9.80000,
-0.80256000000,9.80000,
-0.80248000000,9.80000,
-0.80240000000,9.80000,
-0.80232000000,10.00000,
-0.80223993750,9.80000,
-0.80215993750,9.80000,
-0.80208000000,9.80000,
-0.80200000000,9.80000,
-0.80192000000,9.80000,
-0.80184000000,10.00000,
-0.80175993750,9.80000,
-0.80168000000,9.80000,
-0.80160000000,9.80000,
-0.80152000000,10.00000,
-0.80144000000,9.80000,
-0.80135993750,9.80000,
-0.80127993750,9.80000,
-0.80120000000,9.80000,
-0.80112000000,9.80000,
-0.80104000000,9.80000,
-0.80096000000,9.80000,
-0.80087993750,9.80000,
-0.80079993750,9.80000,
-0.80072000000,9.80000,
-0.80064000000,9.80000,
-0.80056000000,9.80000,
-0.80048000000,9.80000,
-0.80039993750,9.80000,
-0.80032000000,9.80000,
-0.80024000000,9.80000,
-0.80016000000,9.80000,
-0.80008000000,9.80000,
-0.79999993750,9.80000,
-0.79991993750,9.80000,
-0.79984000000,9.80000,
-0.79976000000,9.80000,
-0.79968000000,9.80000,
-0.79960000000,9.80000,
-0.79951993750,9.80000,
-0.79943993750,9.80000,
-0.79936000000,10.00000,
-0.79928000000,9.80000,
-0.79920000000,9.80000,
-0.79912000000,9.80000,
-0.79903993750,9.80000,
-0.79896000000,9.80000,
-0.79888000000,9.80000,
-0.79880000000,10.00000,
-0.79872000000,9.80000,
-0.79863993750,9.80000,
-0.79855993750,9.80000,
